eligible_voters,voters,CDU,SPD,GRUENE,FDP,AFD,LINKE,SONSTIGE,location_address,location_id,latitude,longitude
894,558,198,130,33,49,108,17,21,"GS Jagstfeld, EG links",21.8125005.111,49.1426929,9.210879
1349,782,241,232,47,52,128,36,28,Rathaus Bad Friedrichshall,21.8125005.201,49.22756,9.2102601
1332,770,278,160,65,87,99,34,33,Kiga Waldersee,21.8125005.202,49.1426929,9.210879
1084,632,157,170,34,59,129,46,26,Alte Kelter Kochendorf,21.8125005.203,49.22506010000001,9.217801
1064,639,188,175,39,73,91,33,30,GS Hagenbach,21.8125005.206,49.2350532,9.2222543
879,456,138,117,33,36,95,19,12,Ev. Gemeindehaus,21.8125005.210,49.11321,9.17184
1137,716,266,152,44,52,146,21,25,Altes Rathaus,21.8125005.307,49.1196491,9.1910324
760,486,174,119,23,39,92,24,10,"Alte Kelter, Zehentgasse",21.8125005.408,49.07633999999999,9.16123
1021,646,232,168,35,43,113,32,16,Vwstelle Untergriesheim,21.8125005.509,49.26680100000001,9.222118
1599,778,168,143,27,45,271,79,10,Vwstelle Plattenwald,21.8125005.612,49.1426929,9.210879
0,2118,776,533,153,189,286,79,83,Briefwahl Bad Friedrichshall,21.8125005.B901,49.2282271,9.2165086
1589,898,294,221,69,62,141,61,25,Bürgerhaus,22.8125006.101,49.1335167,9.1933182
1546,783,250,189,60,66,138,44,19,Rathaus,22.8125006.102,49.142624,9.218359
1461,874,322,184,62,76,140,49,32,Albert-Schweitzer-Schule,22.8125006.103,49.1383301,9.1793277
1287,749,213,198,55,51,135,52,33,Realschule,22.8125006.104,49.12524,9.22462
892,376,127,91,34,32,55,21,9,Klinik-Zentralverwaltung,22.8125006.105,49.1426929,9.210879
1270,697,204,175,32,55,146,47,26,Mühlentalschule Zimmerhof,22.8125006.106,49.2508071,9.1224292
812,479,156,106,24,46,93,19,23,"Babstadt, Bürgerbüro",22.8125006.210,49.18451,9.109829999999999
1381,868,283,211,79,99,137,23,24,"Bonfeld, Bürgerbüro",22.8125006.311,49.23975,9.10142
1226,758,276,177,47,69,133,27,20,"Fürfeld, Bürgerbüro",22.8125006.412,49.18451,9.109829999999999
956,579,246,93,24,58,102,22,20,"Grombach, Bürgerbüro",22.8125006.513,49.229935,8.999328
1184,727,239,217,58,59,105,15,22,"Heinsheim, Bürgerbüro",22.8125006.614,49.2624432,9.150252499999999
1253,784,303,143,56,69,151,26,24,"Obergimpern, Bürgerbüro",22.8125006.715,49.2570564,9.0393063
700,444,128,97,27,47,103,19,19,"Treschklingen, Bürgerbüro",22.8125006.816,49.18451,9.109829999999999
314,177,60,28,16,15,34,7,13,"Wollenberg, Bürgerbüro",22.8125006.917,49.29034499999999,9.033182
0,3022,1183,609,216,309,416,127,120,Briefwahl Bad Rappenau,22.8125006.B901,49.24016899999999,9.1020153
996,608,182,172,74,65,61,29,15,Rathaus,23.8125007.101,49.142624,9.218359
1070,654,245,160,55,61,76,31,14,Kindergarten Landgraben,23.8125007.102,49.06460920000001,9.2925265
1170,667,276,186,40,50,76,18,14,Gymnasium,23.8125007.103,49.1425633,9.2269563
1257,755,272,214,56,56,92,39,18,Kindergarten Weimar,23.8125007.104,49.1469624,9.2320137
257,151,50,27,11,19,34,2,4,Ehem. Schulhaus Corneliastr.,23.8125007.205,49.2254432,9.163024799999999
255,179,72,33,12,15,23,15,7,Ehem. Schulhaus Schulgasse,23.8125007.306,49.1399152,9.2268071
0,979,417,217,96,106,71,35,35,Briefwahl Bad Wimpfen,23.8125007.B901,49.22850409999999,9.157138699999999
1095,706,262,143,56,80,102,27,29,Altes Schulhaus Eberstadt,24.8125021.101,49.1804054,9.3237366
266,179,58,36,14,20,36,10,3,Mehrzweckhaus Hölzern,24.8125021.202,49.1790435,9.3462477
802,550,198,138,52,50,70,13,21,Grundschule Eberstadt,24.8125021.103,49.1828684,9.3178632
199,135,47,28,13,13,23,7,3,Altes Schulhaus Lennach,24.8125021.104,49.18747440000001,9.3111923
0,363,140,87,29,36,37,14,17,Briefwahl Eberstadt,24.8125021.B901,49.1804054,9.3237366
1354,827,283,208,58,64,127,44,27,Gemeindehalle,25.8125024.101,49.15944,9.170259999999999
1348,862,318,181,64,79,148,26,35,"Kinderhaus ""Arche Noah""",25.8125024.102,49.14347129999999,9.3222239
